record_id,industry_sector,age_group,experience_level,shift_type,weekly_hours,ppe_compliance,education_level,season,employment_type,safety_training_hrs,site_hazard_score,equipment_age_yrs,prev_incidents_3yr,near_misses_3yr,team_size,overtime_days_month,accident_probability,accident_occurred
W-00017,Manufacturing,26-35,15+yr,Day,37,Full,Vocational,Autumn,Contractor,6,3.5,7,2,3,7,3,0.4338,0
W-00018,Mining,46-55,7-15yr,Day,52,Full,Secondary,Summer,Permanent,6,6.2,1,0,0,19,6,0.6218,0
W-00019,Manufacturing,18-25,3-7yr,Evening,34,Partial,Degree,Autumn,Agency,0,5.0,4,2,3,23,3,0.97,1
W-00020,Manufacturing,26-35,7-15yr,Night,61,Full,Secondary,Winter,Permanent,7,3.8,6,1,1,19,6,0.6725,0
W-00021,Agriculture,26-35,<1yr,Day,61,Partial,Vocational,Winter,Agency,0,3.9,3,2,4,5,4,0.97,1
W-00022,Construction,26-35,7-15yr,Rotating,54,Full,Vocational,Winter,Permanent,6,3.5,2,2,5,4,4,0.7846,1
W-00023,Manufacturing,26-35,7-15yr,Day,40,None,Vocational,Spring,Contractor,11,3.5,4,1,1,5,3,0.63,0
W-00024,Manufacturing,36-45,7-15yr,Night,39,Full,Secondary,Spring,Permanent,14,5.1,2,0,1,33,1,0.3921,1
W-00025,Manufacturing,46-55,1-3yr,Day,33,Partial,Secondary,Autumn,Permanent,37,2.7,18,0,0,24,2,0.4637,1
W-00026,Transportation,46-55,1-3yr,Day,48,None,Secondary,Autumn,Temporary,5,3.2,4,2,5,8,3,0.7975,1
W-00027,Construction,26-35,3-7yr,Night,50,Full,Degree,Spring,Temporary,47,1.5,4,0,0,4,1,0.6739,1
W-00028,Mining,55+,15+yr,Rotating,50,Full,Vocational,Spring,Agency,10,7.5,5,1,1,17,3,0.8565,1
W-00029,Mining,36-45,15+yr,Rotating,60,Full,Secondary,Winter,Permanent,12,5.7,7,4,7,3,4,0.9196,1
W-00030,Construction,26-35,1-3yr,Day,52,Partial,Vocational,Spring,Contractor,12,5.0,2,0,1,3,6,0.8553,1
W-00031,Agriculture,46-55,7-15yr,Evening,48,Partial,Degree,Summer,Agency,11,4.4,3,1,2,13,3,0.6816,1
W-00032,Construction,46-55,15+yr,Day,46,Partial,Degree,Spring,Permanent,0,5.6,2,0,1,9,3,0.6772,1
W-00033,Construction,46-55,1-3yr,Day,37,Full,Primary,Winter,Permanent,14,5.7,4,1,2,18,1,0.6434,0
W-00034,Chemical,26-35,7-15yr,Day,49,None,Degree,Winter,Permanent,3,3.4,8,1,2,21,2,0.9598,1
W-00035,Chemical,36-45,1-3yr,Day,47,Full,Degree,Spring,Agency,8,6.4,8,1,1,9,3,0.6729,0
W-00036,Transportation,46-55,1-3yr,Rotating,57,Partial,Vocational,Autumn,Temporary,15,4.4,6,2,4,6,5,0.8794,1
W-00037,Manufacturing,36-45,1-3yr,Day,48,Full,Degree,Winter,Agency,24,3.9,3,1,1,19,1,0.4908,1
W-00038,Construction,36-45,3-7yr,Evening,65,Full,Degree,Autumn,Permanent,17,7.1,2,1,2,2,6,0.7455,1
W-00039,Agriculture,36-45,7-15yr,Evening,55,Full,Vocational,Autumn,Agency,12,3.8,3,0,0,16,5,0.434,1
W-00040,Manufacturing,46-55,3-7yr,Day,31,Full,Degree,Summer,Permanent,11,2.9,15,0,0,74,2,0.3026,0
W-00041,Construction,26-35,<1yr,Rotating,50,Full,Secondary,Autumn,Permanent,7,5.5,13,0,0,10,2,0.8907,0
W-00042,Manufacturing,36-45,1-3yr,Day,56,Full,Degree,Winter,Temporary,18,4.9,10,3,6,11,6,0.8109,1
W-00043,Construction,18-25,3-7yr,Rotating,44,Full,Vocational,Summer,Contractor,23,4.7,18,1,1,7,2,0.8107,1
W-00044,Chemical,36-45,3-7yr,Rotating,43,Full,Vocational,Spring,Permanent,7,4.2,2,0,0,12,3,0.4901,0
W-00045,Construction,46-55,3-7yr,Rotating,62,Full,Degree,Winter,Permanent,11,3.9,11,0,1,31,4,0.7095,1
W-00046,Agriculture,18-25,<1yr,Night,42,Full,Degree,Spring,Agency,12,3.8,12,2,3,5,1,0.97,1
W-00047,Manufacturing,36-45,7-15yr,Day,50,None,Vocational,Winter,Permanent,11,3.8,6,1,1,9,1,0.6001,1
W-00048,Mining,26-35,15+yr,Day,45,Full,Primary,Winter,Permanent,7,4.6,3,1,1,5,1,0.6479,1
W-00049,Mining,18-25,3-7yr,Evening,51,Full,Vocational,Spring,Permanent,9,3.4,12,2,4,14,5,0.97,1
W-00050,Construction,26-35,7-15yr,Day,41,Full,Degree,Summer,Permanent,18,4.8,10,0,0,9,4,0.4827,0
W-00051,Chemical,26-35,15+yr,Night,44,Partial,Vocational,Spring,Permanent,39,5.1,9,2,4,6,3,0.8219,1
W-00052,Transportation,26-35,7-15yr,Night,58,Full,Degree,Summer,Contractor,22,5.0,23,0,1,9,8,0.4909,0
W-00053,Chemical,26-35,7-15yr,Day,58,Full,Degree,Summer,Permanent,21,5.7,24,0,1,7,6,0.5252,1
W-00054,Transportation,46-55,7-15yr,Day,44,Partial,Vocational,Autumn,Contractor,3,5.9,8,1,1,25,1,0.6581,1
W-00055,Mining,46-55,1-3yr,Day,49,Full,Secondary,Spring,Permanent,10,5.2,25,0,2,6,0,0.7445,0
W-00056,Chemical,36-45,3-7yr,Evening,52,Full,Primary,Summer,Permanent,10,5.4,21,0,0,17,3,0.6164,1
W-00057,Construction,18-25,7-15yr,Day,47,Full,Vocational,Autumn,Contractor,22,5.1,1,2,3,7,0,0.7765,1
W-00058,Construction,55+,1-3yr,Evening,51,Full,Secondary,Autumn,Permanent,6,8.2,12,0,1,39,5,0.8534,1
W-00059,Construction,36-45,15+yr,Night,63,Full,Vocational,Winter,Contractor,12,5.9,2,0,0,17,7,0.7221,0
W-00060,Manufacturing,18-25,3-7yr,Day,35,Full,Degree,Winter,Temporary,23,1.0,15,1,2,13,2,0.4589,1
W-00061,Manufacturing,46-55,3-7yr,Evening,54,Partial,Secondary,Winter,Temporary,1,2.8,4,0,1,10,6,0.7068,1
W-00062,Construction,26-35,3-7yr,Evening,63,Full,Primary,Spring,Permanent,40,3.4,5,1,2,6,6,0.772,1
W-00063,Transportation,36-45,3-7yr,Evening,54,Full,Degree,Spring,Temporary,34,4.6,28,0,0,31,4,0.4378,1
W-00064,Manufacturing,36-45,7-15yr,Rotating,39,Full,Vocational,Spring,Permanent,48,2.5,4,1,1,10,2,0.3382,1
W-00065,Manufacturing,26-35,3-7yr,Day,59,Full,Secondary,Summer,Permanent,15,4.0,8,2,4,7,4,0.585,1
W-00066,Mining,46-55,15+yr,Day,45,Full,Vocational,Autumn,Permanent,7,5.6,1,2,3,23,2,0.6485,0
W-00067,Construction,26-35,3-7yr,Rotating,53,None,Vocational,Spring,Temporary,13,4.7,5,1,2,23,6,0.97,1
W-00068,Transportation,18-25,7-15yr,Day,54,Full,Secondary,Summer,Contractor,28,1.8,7,2,3,4,3,0.5666,0
W-00069,Construction,55+,15+yr,Day,57,Partial,Vocational,Spring,Temporary,0,4.6,13,3,6,4,8,0.97,1
W-00070,Chemical,55+,1-3yr,Night,43,None,Secondary,Summer,Contractor,3,4.9,12,1,1,5,0,0.97,1
W-00071,Transportation,36-45,7-15yr,Night,50,Full,Degree,Winter,Contractor,17,2.6,7,1,1,26,3,0.3994,1
W-00072,Construction,36-45,<1yr,Day,48,Partial,Degree,Summer,Contractor,13,5.8,4,1,2,8,1,0.9432,1
W-00073,Construction,18-25,7-15yr,Evening,39,Partial,Secondary,Autumn,Permanent,8,3.1,6,1,2,10,0,0.8744,0
W-00074,Transportation,46-55,3-7yr,Day,52,Full,Degree,Summer,Permanent,6,1.3,9,0,0,6,3,0.2638,0
W-00075,Agriculture,18-25,15+yr,Evening,43,Full,Degree,Autumn,Permanent,16,4.7,6,1,1,31,3,0.5667,1
W-00076,Agriculture,18-25,7-15yr,Evening,46,Full,Secondary,Autumn,Permanent,7,2.6,15,3,5,5,2,0.7277,1
W-00077,Transportation,36-45,<1yr,Evening,42,Full,Primary,Spring,Permanent,6,1.1,19,1,2,23,1,0.5232,0
W-00078,Construction,18-25,<1yr,Evening,50,Partial,Vocational,Autumn,Permanent,1,5.5,6,1,2,5,0,0.97,1
W-00079,Manufacturing,18-25,3-7yr,Day,41,Full,Secondary,Summer,Contractor,40,3.3,4,1,1,26,2,0.4471,1
W-00080,Construction,26-35,3-7yr,Day,45,Partial,Secondary,Winter,Permanent,14,6.2,2,2,3,19,0,0.8454,1
W-00081,Transportation,18-25,1-3yr,Day,46,Full,Secondary,Spring,Contractor,17,1.0,24,1,1,3,3,0.5437,1
W-00082,Agriculture,18-25,<1yr,Day,41,Partial,Secondary,Winter,Permanent,15,1.7,11,2,4,10,2,0.8314,0
W-00083,Manufacturing,18-25,3-7yr,Night,35,Full,Secondary,Autumn,Permanent,9,4.1,8,3,6,7,2,0.8865,1
W-00084,Construction,26-35,<1yr,Evening,51,Full,Degree,Summer,Permanent,10,5.8,7,1,1,17,7,0.8795,1
W-00085,Manufacturing,36-45,7-15yr,Day,45,Full,Degree,Summer,Contractor,34,4.4,5,0,1,11,4,0.1831,0
W-00086,Manufacturing,46-55,7-15yr,Rotating,46,None,Vocational,Spring,Permanent,8,4.2,5,1,1,20,3,0.8298,0
W-00087,Agriculture,26-35,7-15yr,Evening,45,Full,Vocational,Winter,Agency,27,3.9,6,1,1,120,3,0.483,0
W-00088,Agriculture,36-45,<1yr,Day,52,Full,Degree,Spring,Temporary,40,3.1,8,0,1,11,4,0.5487,1
W-00089,Transportation,18-25,<1yr,Day,63,Full,Degree,Winter,Permanent,13,1.0,5,1,1,46,6,0.6115,1
W-00090,Manufacturing,18-25,3-7yr,Evening,32,Full,Degree,Winter,Contractor,16,5.8,3,1,1,8,3,0.7221,0
W-00091,Construction,26-35,15+yr,Day,49,Full,Secondary,Summer,Temporary,10,4.0,1,0,0,13,2,0.5596,0
W-00092,Agriculture,36-45,1-3yr,Night,46,Full,Secondary,Spring,Permanent,27,5.2,24,1,3,5,4,0.621,1
W-00093,Transportation,46-55,1-3yr,Evening,57,Full,Degree,Summer,Permanent,13,2.3,0,0,1,7,4,0.4019,0
W-00094,Mining,36-45,<1yr,Rotating,38,Partial,Degree,Winter,Permanent,15,5.5,14,0,1,12,3,0.9602,1
W-00095,Transportation,26-35,7-15yr,Day,46,Full,Degree,Winter,Temporary,16,2.0,1,1,1,15,4,0.3958,1
W-00096,Manufacturing,18-25,7-15yr,Night,48,Partial,Vocational,Summer,Agency,9,3.6,22,2,4,14,4,0.97,1
W-00097,Mining,46-55,<1yr,Rotating,40,Partial,Vocational,Autumn,Permanent,2,6.4,6,3,6,10,1,0.97,1
W-00098,Manufacturing,26-35,3-7yr,Day,40,Full,Secondary,Summer,Permanent,21,1.4,2,0,0,8,1,0.1636,0
W-00099,Construction,46-55,7-15yr,Day,43,Full,Secondary,Winter,Temporary,6,5.8,21,1,2,6,0,0.6802,0
W-00100,Construction,36-45,3-7yr,Evening,47,Partial,Secondary,Winter,Permanent,18,7.2,4,0,0,8,2,0.7276,1
W-00101,Construction,46-55,7-15yr,Rotating,29,Full,Vocational,Summer,Permanent,36,5.8,6,0,0,10,0,0.4802,1
W-00102,Agriculture,46-55,7-15yr,Evening,43,Full,Vocational,Winter,Temporary,25,4.8,13,1,1,6,5,0.4804,0
W-00103,Manufacturing,55+,7-15yr,Evening,52,Partial,Secondary,Winter,Permanent,2,3.3,10,1,2,2,3,0.7375,1
W-00104,Mining,36-45,3-7yr,Night,60,None,Primary,Summer,Temporary,0,5.2,18,4,7,6,4,0.97,1
W-00105,Chemical,36-45,7-15yr,Day,48,Full,Degree,Summer,Temporary,8,5.1,3,0,0,15,2,0.4551,0
W-00106,Construction,26-35,15+yr,Evening,50,None,Vocational,Winter,Permanent,0,3.9,3,2,4,2,3,0.97,1
W-00107,Manufacturing,55+,3-7yr,Day,35,Full,Degree,Winter,Permanent,26,3.2,4,1,3,18,5,0.343,0
W-00108,Transportation,26-35,1-3yr,Day,43,Full,Vocational,Summer,Permanent,6,1.0,10,0,0,5,2,0.2983,0
W-00109,Construction,18-25,7-15yr,Night,40,None,Secondary,Summer,Permanent,3,3.8,6,2,4,9,2,0.97,1
W-00110,Construction,26-35,1-3yr,Evening,44,None,Secondary,Summer,Permanent,6,6.6,9,1,2,5,4,0.97,1
W-00111,Manufacturing,18-25,15+yr,Rotating,67,Full,Vocational,Spring,Permanent,41,1.0,5,2,3,16,4,0.6461,0
W-00112,Construction,36-45,<1yr,Day,57,Full,Vocational,Winter,Permanent,18,6.1,35,3,5,6,7,0.97,1
W-00113,Chemical,36-45,15+yr,Day,52,None,Secondary,Spring,Agency,10,7.2,6,3,6,12,5,0.97,1
W-00114,Transportation,26-35,3-7yr,Night,52,Full,Secondary,Winter,Permanent,15,3.3,4,0,1,4,5,0.4929,0
W-00115,Agriculture,18-25,7-15yr,Day,43,Full,Secondary,Summer,Temporary,11,2.6,0,2,3,41,0,0.6407,1
W-00116,Transportation,55+,3-7yr,Day,51,None,Degree,Spring,Contractor,1,3.7,6,1,1,6,5,0.8635,1
W-00117,Transportation,46-55,15+yr,Day,41,Full,Secondary,Summer,Temporary,20,1.3,7,1,1,4,2,0.2811,0
W-00118,Construction,46-55,1-3yr,Day,63,Partial,Vocational,Spring,Temporary,5,4.2,4,1,1,8,5,0.9334,1
W-00119,Transportation,26-35,1-3yr,Rotating,55,Full,Degree,Winter,Permanent,19,1.4,7,1,2,28,7,0.6034,1
W-00120,Mining,46-55,<1yr,Evening,53,Full,Secondary,Summer,Temporary,15,4.2,1,1,1,15,4,0.97,1
W-00121,Transportation,36-45,15+yr,Rotating,45,Full,Primary,Autumn,Temporary,15,4.1,0,1,1,7,0,0.4292,0
W-00122,Transportation,26-35,3-7yr,Rotating,45,Full,Secondary,Summer,Agency,10,2.8,3,1,1,7,1,0.6193,1
W-00123,Manufacturing,18-25,7-15yr,Day,40,Full,Secondary,Autumn,Contractor,8,4.2,12,1,1,5,2,0.5646,1
W-00124,Construction,26-35,7-15yr,Night,40,Partial,Secondary,Summer,Permanent,0,5.5,2,1,1,8,3,0.9676,1
W-00125,Construction,18-25,7-15yr,Day,57,Partial,Secondary,Spring,Agency,3,3.4,9,1,2,9,3,0.97,1
W-00126,Manufacturing,55+,7-15yr,Day,51,Partial,Vocational,Winter,Temporary,10,3.2,7,0,1,12,4,0.5076,1
W-00127,Transportation,18-25,3-7yr,Rotating,45,Partial,Primary,Autumn,Agency,21,1.9,3,2,3,17,2,0.8373,1
W-00128,Transportation,26-35,7-15yr,Day,41,Full,Primary,Spring,Permanent,25,2.4,3,0,2,14,1,0.0441,0
W-00129,Construction,26-35,7-15yr,Day,57,None,Degree,Autumn,Temporary,13,5.1,10,1,2,11,4,0.9652,1
W-00130,Mining,26-35,1-3yr,Day,50,Full,Vocational,Autumn,Permanent,8,5.4,6,0,0,13,3,0.7376,1
W-00131,Manufacturing,36-45,<1yr,Day,42,Full,Degree,Spring,Permanent,19,3.7,8,1,2,14,0,0.5016,0
W-00132,Construction,18-25,<1yr,Day,55,Partial,Primary,Winter,Permanent,3,5.4,6,1,2,14,3,0.97,1
W-00133,Construction,46-55,3-7yr,Day,61,Full,Primary,Autumn,Permanent,10,4.0,12,0,1,14,3,0.5795,0
W-00134,Manufacturing,26-35,3-7yr,Day,41,Full,Vocational,Autumn,Permanent,22,3.6,1,0,1,9,1,0.2532,1
W-00135,Chemical,36-45,3-7yr,Rotating,45,None,Vocational,Spring,Temporary,0,6.9,1,1,3,4,6,0.97,1
W-00136,Manufacturing,36-45,15+yr,Day,44,Full,Degree,Autumn,Permanent,17,2.8,4,1,3,14,3,0.2632,0
W-00137,Mining,46-55,1-3yr,Day,48,Partial,Degree,Spring,Agency,13,4.0,12,1,3,12,5,0.97,1
W-00138,Agriculture,46-55,7-15yr,Day,45,None,Vocational,Spring,Temporary,36,3.5,3,2,3,22,4,0.7526,1
W-00139,Manufacturing,36-45,3-7yr,Night,38,None,Vocational,Spring,Contractor,0,4.5,27,2,4,8,2,0.97,1
W-00140,Chemical,26-35,1-3yr,Evening,38,Full,Degree,Autumn,Permanent,8,5.6,12,1,2,36,2,0.7401,1
W-00141,Chemical,36-45,3-7yr,Rotating,50,Full,Degree,Autumn,Permanent,13,5.2,8,0,0,24,2,0.6089,0
W-00142,Construction,46-55,15+yr,Night,62,Partial,Secondary,Spring,Contractor,8,7.1,4,0,2,21,5,0.9263,1
W-00143,Manufacturing,46-55,<1yr,Day,47,Full,Vocational,Autumn,Permanent,11,5.2,2,0,0,5,2,0.4289,1
W-00144,Manufacturing,18-25,3-7yr,Day,53,Partial,Vocational,Spring,Agency,12,4.9,2,1,1,20,5,0.8143,1
W-00145,Manufacturing,26-35,<1yr,Evening,48,Full,Degree,Winter,Temporary,16,3.2,17,0,0,6,1,0.6736,0
W-00146,Construction,46-55,1-3yr,Night,48,Partial,Degree,Winter,Contractor,12,8.6,15,1,3,12,0,0.97,1
W-00147,Agriculture,26-35,3-7yr,Day,38,Partial,Secondary,Autumn,Permanent,27,3.0,11,0,0,16,4,0.4599,0
W-00148,Mining,26-35,7-15yr,Evening,48,None,Degree,Spring,Permanent,0,6.9,5,1,1,5,1,0.97,1
W-00149,Construction,26-35,7-15yr,Rotating,58,Full,Degree,Winter,Permanent,26,4.4,3,1,1,9,8,0.6528,0
W-00150,Construction,36-45,3-7yr,Night,39,Partial,Secondary,Winter,Contractor,11,6.1,11,0,1,24,1,0.796,0
W-00151,Chemical,55+,15+yr,Night,54,Full,Vocational,Summer,Contractor,31,5.5,5,1,2,52,5,0.6857,0
W-00152,Construction,36-45,1-3yr,Night,45,Full,Vocational,Spring,Temporary,6,4.8,14,2,3,9,1,0.97,1
W-00153,Construction,26-35,7-15yr,Day,48,Full,Secondary,Autumn,Contractor,27,2.7,4,1,1,20,3,0.5102,1
W-00154,Manufacturing,18-25,3-7yr,Day,40,Partial,Vocational,Spring,Permanent,2,6.1,6,1,1,21,4,0.8469,1
W-00155,Chemical,18-25,15+yr,Day,47,None,Secondary,Autumn,Contractor,31,6.7,4,2,3,2,2,0.9579,1
W-00156,Construction,36-45,7-15yr,Day,38,Partial,Degree,Winter,Agency,4,7.0,9,0,0,17,5,0.6461,1
W-00157,Agriculture,36-45,15+yr,Rotating,56,Full,Primary,Winter,Temporary,21,2.1,2,1,1,7,6,0.4676,0
W-00158,Transportation,26-35,1-3yr,Day,46,Partial,Vocational,Summer,Permanent,19,4.2,16,1,1,4,0,0.5831,0
W-00159,Construction,36-45,7-15yr,Night,64,Full,Secondary,Summer,Contractor,36,5.0,3,0,1,27,5,0.7107,1
W-00160,Agriculture,46-55,7-15yr,Night,52,Partial,Vocational,Winter,Agency,2,3.3,7,1,1,16,4,0.8921,1
W-00161,Manufacturing,26-35,7-15yr,Evening,38,None,Vocational,Spring,Temporary,7,2.5,5,2,3,50,3,0.7898,1
W-00162,Agriculture,26-35,3-7yr,Evening,33,Full,Degree,Winter,Temporary,6,5.5,6,0,1,20,2,0.5132,1
W-00163,Agriculture,55+,<1yr,Evening,57,Full,Degree,Spring,Contractor,6,4.2,11,0,1,11,4,0.7375,1
W-00164,Mining,26-35,1-3yr,Day,41,Full,Secondary,Summer,Temporary,12,5.8,2,0,0,8,6,0.739,1
W-00165,Construction,46-55,1-3yr,Rotating,41,Full,Vocational,Autumn,Permanent,20,5.6,3,0,1,4,3,0.675,0
W-00166,Transportation,26-35,7-15yr,Day,56,Partial,Secondary,Summer,Permanent,12,3.2,8,2,3,26,8,0.7092,1
W-00167,Manufacturing,46-55,7-15yr,Day,42,Full,Vocational,Autumn,Temporary,13,4.7,3,0,1,20,4,0.37,0
W-00168,Construction,46-55,<1yr,Evening,53,Full,Vocational,Summer,Permanent,17,2.7,16,0,0,14,5,0.7209,1
W-00169,Construction,36-45,15+yr,Day,48,Full,Secondary,Autumn,Temporary,17,4.7,9,1,2,29,1,0.62,1
W-00170,Mining,46-55,1-3yr,Day,30,None,Vocational,Spring,Permanent,17,4.1,4,2,3,11,6,0.97,1
W-00171,Agriculture,55+,3-7yr,Rotating,54,Full,Primary,Autumn,Permanent,32,4.1,4,1,3,8,5,0.546,0
W-00172,Construction,36-45,1-3yr,Night,42,Full,Secondary,Winter,Permanent,11,3.3,7,1,1,12,2,0.7586,0
W-00173,Mining,26-35,7-15yr,Rotating,39,Full,Degree,Spring,Permanent,6,4.3,1,1,1,15,1,0.6687,1
W-00174,Construction,26-35,7-15yr,Day,28,Full,Secondary,Spring,Permanent,9,5.6,3,0,0,34,2,0.4769,0
W-00175,Agriculture,46-55,1-3yr,Day,36,Full,Vocational,Summer,Permanent,7,3.4,5,1,1,6,2,0.4085,0
W-00176,Construction,36-45,7-15yr,Night,47,None,Degree,Summer,Permanent,14,5.6,10,1,1,8,4,0.97,1
W-00177,Agriculture,18-25,1-3yr,Night,50,Full,Degree,Spring,Temporary,6,2.4,15,1,1,5,2,0.803,0
W-00178,Manufacturing,18-25,3-7yr,Evening,47,Full,Vocational,Autumn,Contractor,13,3.2,4,2,3,7,1,0.6439,1
W-00179,Chemical,36-45,3-7yr,Rotating,56,Full,Secondary,Summer,Temporary,15,4.7,4,0,1,12,4,0.5855,1
W-00180,Construction,26-35,1-3yr,Rotating,35,None,Degree,Winter,Temporary,17,3.6,9,1,2,28,3,0.97,1
W-00181,Manufacturing,36-45,7-15yr,Evening,29,Full,Vocational,Summer,Permanent,20,2.7,9,0,0,10,1,0.2493,1
W-00182,Construction,46-55,7-15yr,Day,65,Partial,Secondary,Winter,Permanent,10,5.4,5,0,0,6,9,0.783,1
W-00183,Chemical,36-45,1-3yr,Evening,45,Partial,Secondary,Winter,Permanent,10,4.4,4,0,1,12,3,0.6712,1
W-00184,Transportation,18-25,1-3yr,Rotating,53,None,Primary,Summer,Agency,3,2.0,1,2,3,10,5,0.97,1
W-00185,Construction,26-35,<1yr,Day,34,Full,Secondary,Autumn,Agency,33,5.5,6,0,0,12,1,0.7683,1
W-00186,Agriculture,26-35,1-3yr,Evening,51,Full,Vocational,Winter,Permanent,8,3.2,4,0,0,37,5,0.5683,1
W-00187,Transportation,26-35,3-7yr,Night,58,Partial,Secondary,Winter,Permanent,39,3.3,3,0,0,9,6,0.5597,0
W-00188,Mining,36-45,1-3yr,Day,30,Partial,Secondary,Autumn,Agency,11,6.5,13,0,0,10,0,0.8524,1
W-00189,Mining,36-45,7-15yr,Evening,49,Partial,Secondary,Summer,Permanent,3,6.5,10,1,3,10,0,0.97,1
W-00190,Construction,26-35,3-7yr,Day,49,Partial,Secondary,Summer,Permanent,15,5.4,14,0,0,5,2,0.778,1
W-00191,Construction,18-25,1-3yr,Night,30,Partial,Secondary,Winter,Permanent,5,5.0,3,1,1,26,3,0.97,1
W-00192,Transportation,18-25,15+yr,Night,51,None,Degree,Autumn,Contractor,0,2.9,5,2,4,34,4,0.97,1
W-00193,Chemical,55+,1-3yr,Night,44,None,Secondary,Winter,Permanent,0,6.4,9,1,1,38,2,0.97,1
W-00194,Agriculture,36-45,3-7yr,Day,49,Full,Degree,Winter,Permanent,15,3.0,19,0,1,2,1,0.3839,1
W-00195,Manufacturing,46-55,3-7yr,Day,51,Full,Degree,Summer,Contractor,18,5.1,3,1,1,9,4,0.493,0
W-00196,Manufacturing,46-55,1-3yr,Night,53,Full,Vocational,Summer,Temporary,10,2.9,21,0,1,6,7,0.6393,0
W-00197,Agriculture,36-45,1-3yr,Day,43,Full,Primary,Spring,Temporary,20,4.4,1,0,0,11,1,0.4329,1
W-00198,Transportation,36-45,1-3yr,Day,42,Full,Secondary,Summer,Agency,9,3.2,7,1,2,14,2,0.5178,1
W-00199,Transportation,26-35,7-15yr,Day,47,Full,Secondary,Spring,Permanent,11,3.8,2,0,1,17,1,0.2933,0
W-00200,Transportation,36-45,7-15yr,Evening,43,None,Vocational,Spring,Permanent,0,1.0,14,3,6,2,3,0.7772,1
W-00201,Agriculture,26-35,7-15yr,Day,34,Full,Secondary,Spring,Permanent,18,4.5,3,0,1,5,0,0.3533,0
W-00202,Construction,46-55,3-7yr,Evening,47,Partial,Primary,Summer,Temporary,8,5.0,10,1,4,11,1,0.8124,1
W-00203,Construction,18-25,3-7yr,Night,48,Full,Secondary,Winter,Permanent,7,6.0,6,3,5,9,2,0.97,1
W-00204,Transportation,46-55,1-3yr,Evening,44,Partial,Secondary,Summer,Temporary,43,3.3,15,0,1,4,4,0.5382,1
W-00205,Agriculture,18-25,<1yr,Rotating,46,Full,Primary,Summer,Contractor,33,4.9,0,1,5,3,2,0.7969,1
W-00206,Construction,46-55,1-3yr,Day,44,Full,Secondary,Summer,Permanent,24,4.0,3,0,0,9,3,0.5227,1
W-00207,Construction,26-35,3-7yr,Evening,40,None,Secondary,Summer,Temporary,0,3.0,3,3,5,13,4,0.97,1
W-00208,Agriculture,36-45,<1yr,Day,52,None,Vocational,Autumn,Contractor,2,1.9,5,1,1,13,6,0.97,1
W-00209,Construction,36-45,<1yr,Rotating,45,Full,Secondary,Autumn,Agency,14,4.6,9,1,1,18,4,0.895,1
W-00210,Construction,26-35,1-3yr,Rotating,49,Partial,Degree,Summer,Agency,34,4.2,1,1,2,32,4,0.97,1
W-00211,Mining,36-45,3-7yr,Day,40,Partial,Vocational,Winter,Permanent,5,6.4,5,0,0,6,2,0.6935,1
W-00212,Agriculture,55+,3-7yr,Day,37,Full,Vocational,Summer,Temporary,19,5.3,5,0,1,10,3,0.4655,1
